from_node,to_node,length_m,elevation_change,elevation_gain
286181276,7366845050,8.02345213807243,-0.09999999999999787,0.0
286181276,7366845054,5.191107594230529,0.10000000000000142,0.10000000000000142
286181276,286182061,8.253144454672928,0.10000000000000142,0.10000000000000142
286181276,7366845051,8.569186690173384,-0.1999999999999993,0.0
286182061,286181276,8.253144454672928,-0.10000000000000142,0.0
286182061,7366845055,5.936809474319138,0.10000000000000142,0.10000000000000142
286182061,7366845049,8.051782559541602,-0.10000000000000142,0.0
286182061,7366845048,8.988895855000099,0.10000000000000142,0.10000000000000142
308022083,7368658467,6.428916740547022,0.0,0.0
308022083,461629164,8.85896307625577,0.09999999999999432,0.09999999999999432
308022083,7368658470,8.088582499147801,0.3999999999999986,0.3999999999999986
308022083,7368658463,4.428614510698652,-0.20000000000000284,0.0
308022101,461629162,9.734630255330174,0.30000000000000426,0.30000000000000426
308022101,2636411771,9.08713244691576,0.20000000000000284,0.20000000000000284
308022101,461629483,9.85431807102739,-0.29999999999999716,0.0
308022850,308022851,11.077084420209554,0.10000000000000142,0.10000000000000142
308022850,7366852210,9.256209607826516,0.10000000000000142,0.10000000000000142
308022850,7366852216,9.103803820238628,-0.19999999999999574,0.0
308022850,461629181,9.674769559898989,0.30000000000000426,0.30000000000000426
308022851,461629182,9.539646899325923,0.20000000000000284,0.20000000000000284
308022851,308022850,11.077084420209554,-0.10000000000000142,0.0
308022851,7366852215,9.10492583774903,-0.19999999999999574,0.0
308022852,308022854,8.729469355549103,0.0,0.0
308022852,7366584693,7.565896600001982,-0.5,0.0
308022852,7366584694,11.651295853625427,0.8999999999999986,0.8999999999999986
308022854,2637060815,8.820540201451802,0.0,0.0
308022854,308022852,8.729469355549103,0.0,0.0
308022854,7366584695,11.279320164946796,0.7999999999999972,0.7999999999999972
308022854,7366584692,7.705706819482496,-0.5,0.0
443306873,7369034017,12.039526565834448,0.0,0.0
443306873,443306874,12.30141723594238,0.0,0.0
443306873,7369034020,11.175813095174872,-0.09999999999999787,0.0
443306873,443306880,9.751791978203535,0.0,0.0
443306874,7369034019,15.165200397703897,-0.09999999999999787,0.0
443306874,443306880,13.116055540603481,0.0,0.0
