id,name,feature,lat,lon,nearest_node,attraction_score
89,牛久保こすもす公園,playground,35.56216379316113,139.58207581704798,1303245549,0.6
90,ヴィーノヴィーノ,restaurant,35.56319513101549,139.58057513151326,1303245638,0.5
91,北山田かくれんぼ公園,playground,35.56541077794274,139.58770004729786,10803856438,0.6
92,ジョリーパスタ,restaurant,35.561551535466144,139.58689161057603,10736725949,0.5
93,あゆみが丘公園,park,35.56862532721529,139.5659083243416,7924959775,0.8
94,和幸,restaurant,35.56761473783879,139.56621706939782,7924960097,0.5
95,徳生公園,park,35.55467139563002,139.58657912013268,3732569009,0.8
96,新石川四丁目公園,park,35.57037895403802,139.5655301823881,908108531,0.8
97,牛久保のぞみがおか公園,park,35.56846877147151,139.5742322974359,2187247066,0.8
98,中川八幡山公園,park,35.55446337647298,139.57087533562552,9983566999,0.8
99,中川なでしこ公園,park,35.55370967653404,139.57440887868665,2039372133,0.8
100,中川ききょう公園,park,35.55680871000762,139.57275749026337,9983573438,0.8
101,中川ゆめみがおか公園,park,35.5608258862268,139.5661683548136,1484203720,0.8
102,北山田おにごっこ公園,park,35.567040535688314,139.58777010967623,2187246561,0.8
103,北山田しゃぼんだま公園,park,35.56029984875556,139.58815991713536,2261866976,0.8
104,北山田じゃんけん公園,park,35.5611028026407,139.58518062161,1303245745,0.8
105,すみれが丘第三公園,park,35.56621365589096,139.57804201572318,7366851996,0.8
106,すみれが丘第四公園,park,35.56819684655346,139.57660237175034,7049432086,0.8
107,すみれが丘第五公園,park,35.566838453095684,139.57545995162445,1303151801,0.8
108,有馬梅林公園,park,35.569955784470345,139.57967683716902,9269422096,0.8
109,有馬もみの木公園,park,35.56907035917219,139.5816768125034,2187247134,0.8
110,有馬やまもも公園,park,35.5686839976709,139.5838402201199,9269585410,0.8
111,焼肉きんぐ,restaurant,35.56706999285557,139.57495948018322,7366852030,0.5
112,おあしすぽけっと,playground,35.554245485959825,139.5809289570679,10310178229,0.6
